index,Entity,Function,Term,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,1340,oGTa,15.16,,,,,,,,,,,,7.0,7.0
1,1340,oGTa,15.16,,,,,,,,,,,,5.0,5.0
2,1340,oGTa,15.16,,,,,,,,,,,,1.0,1.0
3,1340,oGTa,15.16,,,,,,,,,,,,1.0,1.0
4,1340,oGTa,15.16,,,,,,,,,,,,0.0,0.0
5,1340,oGTa,15.16,,,,,,,,,,,,0.0,0.0
6,1340,oGTa,15.16,,,,,,,,,,,,0.0,0.0
7,1340,oGTa,16.17,2.0,8.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,6.0,8.0,6.0,44.0
8,1340,oGTa,16.17,1.0,3.0,2.0,3.0,0.0,0.0,3.0,2.0,3.0,5.0,3.0,1.0,26.0
9,1340,oGTa,16.17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
10,1340,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
11,1340,oGTa,16.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
12,1340,oGTa,16.17,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0
13,1340,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1340,oGTa,17.18,22.0,36.0,13.0,10.0,17.0,5.0,3.0,5.0,3.0,10.0,8.0,6.0,138.0
15,1340,oGTa,17.18,3.0,15.0,11.0,2.0,4.0,2.0,7.0,2.0,3.0,1.0,0.0,5.0,55.0
16,1340,oGTa,17.18,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
17,1340,oGTa,17.18,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
18,1340,oGTa,17.18,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
19,1340,oGTa,17.18,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
20,1340,oGTa,17.18,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
21,1340,oGTa,18.19,9.0,24.0,4.0,4.0,10.0,5.0,6.0,23.0,4.0,7.0,4.0,5.0,105.0
22,1340,oGTa,18.19,11.0,10.0,4.0,7.0,10.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,68.0
23,1340,oGTa,18.19,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
24,1340,oGTa,18.19,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
25,1340,oGTa,18.19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
26,1340,oGTa,18.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27,1340,oGTa,18.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
28,1340,oGTa,19.20,8.0,10.0,11.0,6.0,6.0,8.0,5.0,9.0,7.0,10.0,8.0,,88.0
29,1340,oGTa,19.20,10.0,24.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,7.0,,73.0
30,1340,oGTa,19.20,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,8.0
31,1340,oGTa,19.20,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,8.0
32,1340,oGTa,19.20,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,5.0
33,1340,oGTa,19.20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,,6.0
34,1340,oGTa,19.20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,,5.0
35,1340,oGTa,21.22,,,,,,,,,,,,7.0,7.0
36,1340,oGTa,21.22,,,,,,,,,,,,1.0,1.0
37,1340,oGTa,21.22,,,,,,,,,,,,0.0,0.0
38,1340,oGTa,21.22,,,,,,,,,,,,0.0,0.0
39,1340,oGTa,21.22,,,,,,,,,,,,0.0,0.0
40,1340,oGTa,21.22,,,,,,,,,,,,0.0,0.0
41,1340,oGTa,21.22,,,,,,,,,,,,0.0,0.0
42,1340,oGTa,22.23,11.0,7.0,12.0,14.0,8.0,18.0,8.0,3.0,4.0,16.0,5.0,1.0,107.0
43,1340,oGTa,22.23,1.0,6.0,0.0,4.0,5.0,5.0,7.0,3.0,5.0,3.0,13.0,9.0,61.0
44,1340,oGTa,22.23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,1340,oGTa,22.23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,1340,oGTa,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
47,1340,oGTa,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1340,oGTa,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1340,oGTa,23.24,3.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,7.0,1.0,5.0,4.0,39.0
50,1340,oGTa,23.24,6.0,18.0,6.0,10.0,11.0,3.0,3.0,4.0,3.0,2.0,7.0,3.0,76.0
51,1340,oGTa,23.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
52,1340,oGTa,23.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
53,1340,oGTa,23.24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
54,1340,oGTa,23.24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
55,1340,oGTa,23.24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
56,1340,oGTa,24.25,3.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0
57,1340,oGTa,24.25,3.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.0
58,1340,oGTa,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
59,1340,oGTa,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
60,1340,oGTa,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
61,1340,oGTa,24.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
62,1340,oGTa,24.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
63,1340,iGTa,15.16,,,,,,,,,,,,3.0,3.0
64,1340,iGTa,15.16,,,,,,,,,,,,74.0,74.0
65,1340,iGTa,15.16,,,,,,,,,,,,1.0,1.0
66,1340,iGTa,15.16,,,,,,,,,,,,1.0,1.0
67,1340,iGTa,15.16,,,,,,,,,,,,0.0,0.0
68,1340,iGTa,15.16,,,,,,,,,,,,6.0,6.0
69,1340,iGTa,15.16,,,,,,,,,,,,0.0,0.0
70,1340,iGTa,16.17,0.0,4.0,1.0,2.0,4.0,2.0,0.0,3.0,4.0,10.0,8.0,2.0,40.0
71,1340,iGTa,16.17,73.0,113.0,56.0,44.0,21.0,42.0,3.0,57.0,66.0,195.0,138.0,61.0,869.0
72,1340,iGTa,16.17,3.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,6.0,2.0,3.0,28.0
73,1340,iGTa,16.17,2.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,6.0,0.0,4.0,25.0
74,1340,iGTa,16.17,0.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,6.0,20.0
75,1340,iGTa,16.17,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,17.0
76,1340,iGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1340,iGTa,17.18,12.0,3.0,12.0,4.0,3.0,3.0,8.0,2.0,0.0,4.0,2.0,6.0,59.0
78,1340,iGTa,17.18,86.0,98.0,102.0,98.0,162.0,149.0,185.0,82.0,47.0,39.0,38.0,71.0,1157.0
79,1340,iGTa,17.18,2.0,6.0,4.0,3.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,3.0,31.0
80,1340,iGTa,17.18,2.0,7.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,27.0
81,1340,iGTa,17.18,3.0,4.0,2.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,24.0
82,1340,iGTa,17.18,1.0,2.0,3.0,1.0,0.0,1.0,9.0,3.0,2.0,1.0,2.0,4.0,29.0
83,1340,iGTa,17.18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,6.0
84,1340,iGTa,18.19,2.0,3.0,3.0,1.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,24.0
85,1340,iGTa,18.19,36.0,65.0,45.0,68.0,70.0,75.0,93.0,32.0,129.0,74.0,36.0,10.0,733.0
86,1340,iGTa,18.19,2.0,0.0,2.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,16.0
87,1340,iGTa,18.19,0.0,3.0,1.0,1.0,0.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,17.0
88,1340,iGTa,18.19,1.0,3.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,15.0
89,1340,iGTa,18.19,1.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0
90,1340,iGTa,18.19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
91,1340,iGTa,19.20,1.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,,11.0
92,1340,iGTa,19.20,99.0,90.0,6.0,36.0,49.0,148.0,140.0,104.0,127.0,51.0,23.0,,873.0
93,1340,iGTa,19.20,5.0,3.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,,19.0
94,1340,iGTa,19.20,4.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,2.0,,15.0
95,1340,iGTa,19.20,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,,14.0
96,1340,iGTa,19.20,2.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,,15.0
97,1340,iGTa,19.20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,3.0
98,1340,iGTa,21.22,,,,,,,,,,,,1.0,1.0
99,1340,iGTa,21.22,,,,,,,,,,,,4.0,4.0
100,1340,iGTa,21.22,,,,,,,,,,,,0.0,0.0
101,1340,iGTa,21.22,,,,,,,,,,,,0.0,0.0
102,1340,iGTa,21.22,,,,,,,,,,,,0.0,0.0
103,1340,iGTa,21.22,,,,,,,,,,,,0.0,0.0
104,1340,iGTa,21.22,,,,,,,,,,,,0.0,0.0
105,1340,iGTa,22.23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,7.0
106,1340,iGTa,22.23,5.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,76.0
107,1340,iGTa,22.23,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
108,1340,iGTa,22.23,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
109,1340,iGTa,22.23,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
110,1340,iGTa,22.23,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
111,1340,iGTa,22.23,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
112,1340,iGTa,23.24,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0
113,1340,iGTa,23.24,1.0,9.0,11.0,13.0,3.0,2.0,10.0,22.0,18.0,9.0,7.0,10.0,115.0
114,1340,iGTa,23.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
115,1340,iGTa,23.24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
116,1340,iGTa,23.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
117,1340,iGTa,23.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,1340,iGTa,23.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1340,iGTa,24.25,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0
120,1340,iGTa,24.25,5.0,22.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.0
121,1340,iGTa,24.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
122,1340,iGTa,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
123,1340,iGTa,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
124,1340,iGTa,24.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0
125,1340,iGTa,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
126,1340,iGV,15.16,,,,,,,,,,,,0.0,0.0
127,1340,iGV,15.16,,,,,,,,,,,,15.0,15.0
128,1340,iGV,15.16,,,,,,,,,,,,8.0,8.0
129,1340,iGV,15.16,,,,,,,,,,,,9.0,9.0
130,1340,iGV,15.16,,,,,,,,,,,,53.0,53.0
131,1340,iGV,15.16,,,,,,,,,,,,28.0,28.0
132,1340,iGV,15.16,,,,,,,,,,,,0.0,0.0
133,1340,iGV,16.17,2.0,9.0,0.0,1.0,1.0,3.0,0.0,5.0,8.0,6.0,15.0,3.0,53.0
134,1340,iGV,16.17,28.0,153.0,252.0,132.0,55.0,20.0,13.0,16.0,72.0,128.0,98.0,44.0,1011.0
135,1340,iGV,16.17,8.0,10.0,71.0,56.0,17.0,7.0,5.0,5.0,11.0,32.0,32.0,16.0,270.0
136,1340,iGV,16.17,9.0,5.0,62.0,56.0,22.0,5.0,8.0,5.0,7.0,31.0,29.0,17.0,256.0
137,1340,iGV,16.17,15.0,5.0,3.0,14.0,54.0,67.0,16.0,0.0,4.0,0.0,9.0,54.0,241.0
138,1340,iGV,16.17,12.0,60.0,8.0,4.0,20.0,9.0,76.0,46.0,3.0,2.0,2.0,0.0,242.0
139,1340,iGV,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1340,iGV,17.18,12.0,7.0,0.0,1.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,3.0,32.0
141,1340,iGV,17.18,166.0,344.0,480.0,304.0,127.0,80.0,108.0,52.0,88.0,75.0,69.0,75.0,1968.0
142,1340,iGV,17.18,21.0,79.0,163.0,94.0,31.0,7.0,13.0,9.0,14.0,7.0,10.0,17.0,465.0
143,1340,iGV,17.18,11.0,60.0,143.0,91.0,30.0,8.0,11.0,5.0,13.0,9.0,7.0,13.0,401.0
144,1340,iGV,17.18,8.0,9.0,11.0,53.0,93.0,92.0,46.0,24.0,1.0,0.0,5.0,9.0,351.0
145,1340,iGV,17.18,14.0,49.0,13.0,11.0,10.0,85.0,119.0,59.0,31.0,10.0,0.0,5.0,406.0
146,1340,iGV,17.18,0.0,2.0,1.0,0.0,6.0,41.0,47.0,25.0,5.0,0.0,0.0,5.0,132.0
147,1340,iGV,18.19,23.0,10.0,10.0,1.0,2.0,3.0,7.0,0.0,0.0,6.0,2.0,0.0,64.0
148,1340,iGV,18.19,109.0,217.0,223.0,171.0,125.0,46.0,54.0,44.0,67.0,42.0,72.0,90.0,1260.0
149,1340,iGV,18.19,19.0,50.0,84.0,44.0,22.0,11.0,11.0,11.0,3.0,12.0,8.0,19.0,294.0
150,1340,iGV,18.19,16.0,37.0,85.0,45.0,21.0,9.0,8.0,9.0,3.0,9.0,5.0,12.0,259.0
