"Function: oGTa, Term: 15.16"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,26.0
Applied,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,16.0
Accepted,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0
Approved,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0
Realized,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0
Finished,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Completed,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0

"Function: oGTa, Term: 16.17"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,14.0,36.0,21.0,38.0,24.0,32.0,39.0,25.0,51.0,49.0,37.0,23.0,389.0
Applied,ASL,8.0,11.0,15.0,16.0,17.0,10.0,18.0,11.0,11.0,17.0,11.0,14.0,159.0
Accepted,ASL,3.0,1.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,16.0
Approved,ASL,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,13.0
Realized,ASL,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,9.0
Finished,ASL,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,14.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

"Function: oGTa, Term: 17.18"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,39.0,64.0,106.0,179.0,144.0,53.0,64.0,89.0,70.0,76.0,62.0,65.0,1011.0
Applied,ASL,15.0,26.0,25.0,35.0,51.0,39.0,35.0,26.0,23.0,38.0,28.0,36.0,377.0
Accepted,ASL,1.0,3.0,4.0,1.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,26.0
Approved,ASL,1.0,3.0,4.0,0.0,7.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,25.0
Realized,ASL,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,18.0
Finished,ASL,0.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,4.0,0.0,14.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0

"Function: oGTa, Term: 18.19"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,83.0,112.0,97.0,64.0,66.0,53.0,73.0,115.0,92.0,82.0,58.0,50.0,945.0
Applied,ASL,47.0,49.0,63.0,65.0,67.0,55.0,80.0,74.0,71.0,68.0,57.0,65.0,761.0
Accepted,ASL,2.0,4.0,1.0,6.0,3.0,3.0,5.0,1.0,3.0,5.0,3.0,3.0,39.0
Approved,ASL,2.0,3.0,0.0,6.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,29.0
Realized,ASL,3.0,2.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,15.0
Finished,ASL,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,15.0
Completed,ASL,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,10.0

"Function: oGTa, Term: 19.20"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,92.0,101.0,92.0,96.0,35.0,48.0,61.0,82.0,90.0,45.0,55.0,nan,797.0
Applied,ASL,80.0,89.0,55.0,90.0,60.0,56.0,64.0,66.0,76.0,59.0,50.0,nan,745.0
Accepted,ASL,3.0,4.0,5.0,3.0,2.0,0.0,5.0,3.0,5.0,4.0,2.0,nan,36.0
Approved,ASL,3.0,2.0,7.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,0.0,nan,31.0
Realized,ASL,6.0,1.0,2.0,1.0,1.0,8.0,0.0,2.0,3.0,0.0,3.0,nan,27.0
Finished,ASL,2.0,3.0,0.0,2.0,2.0,2.0,3.0,0.0,5.0,3.0,2.0,nan,24.0
Completed,ASL,1.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,4.0,2.0,2.0,nan,17.0

"Function: oGTa, Term: 21.22"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.0,58.0
Applied,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,36.0
Accepted,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0
Approved,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0
Realized,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0
Finished,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Completed,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0

"Function: oGTa, Term: 22.23"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
