index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,2204,,oGTa,15.16,2015,2204 - 2015,,,,,,,,,,,,0.0,0.0
1,2204,,oGTa,15.16,2015,2204 - 2015,,,,,,,,,,,,0.0,0.0
2,2204,,oGTa,15.16,2015,2204 - 2015,,,,,,,,,,,,0.0,0.0
3,2204,,oGTa,15.16,2015,2204 - 2015,,,,,,,,,,,,0.0,0.0
4,2204,,oGTa,15.16,2015,2204 - 2015,,,,,,,,,,,,0.0,0.0
5,2204,,oGTa,15.16,2015,2204 - 2015,,,,,,,,,,,,0.0,0.0
6,2204,,oGTa,15.16,2015,2204 - 2015,,,,,,,,,,,,0.0,0.0
7,2204,,oGTa,16.17,2016,2204 - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2204,,oGTa,16.17,2016,2204 - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2204,,oGTa,16.17,2016,2204 - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2204,,oGTa,16.17,2016,2204 - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2204,,oGTa,16.17,2016,2204 - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2204,,oGTa,16.17,2016,2204 - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2204,,oGTa,16.17,2016,2204 - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2204,,oGTa,17.18,2017,2204 - 2017,0.0,0.0,0.0,0.0,24.0,0.0,9.0,17.0,16.0,13.0,7.0,11.0,97.0
15,2204,,oGTa,17.18,2017,2204 - 2017,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,6.0,4.0,3.0,26.0
16,2204,,oGTa,17.18,2017,2204 - 2017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
17,2204,,oGTa,17.18,2017,2204 - 2017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18,2204,,oGTa,17.18,2017,2204 - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19,2204,,oGTa,17.18,2017,2204 - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2204,,oGTa,17.18,2017,2204 - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2204,,oGTa,18.19,2018,2204 - 2018,11.0,20.0,9.0,10.0,25.0,8.0,16.0,8.0,6.0,12.0,11.0,7.0,143.0
22,2204,,oGTa,18.19,2018,2204 - 2018,3.0,4.0,4.0,4.0,10.0,6.0,9.0,4.0,9.0,4.0,9.0,7.0,73.0
23,2204,,oGTa,18.19,2018,2204 - 2018,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,6.0
24,2204,,oGTa,18.19,2018,2204 - 2018,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0
25,2204,,oGTa,18.19,2018,2204 - 2018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
26,2204,,oGTa,18.19,2018,2204 - 2018,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,2204,,oGTa,18.19,2018,2204 - 2018,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,2204,,oGTa,19.20,2019,2204 - 2019,4.0,13.0,13.0,37.0,7.0,2.0,11.0,11.0,16.0,6.0,5.0,,125.0
