status,function,function_new,Month,APP,Month in Dates,status2,Months for Analysis,Term
Realized,Old iGT,iGTa,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,Old iGV,iGV,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,iGTa,iGTa,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,iGV,iGV,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,iGTe,iGTe,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Accepted,oGTe,oGTe,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Accepted,oGTa,oGTa,January 2021,2.0,2021-01-01,Accepted,JAN,20.21
Accepted,oGV,oGV,January 2021,3.0,2021-01-01,Accepted,JAN,20.21
Realized,iGE,iGTa,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Accepted,iGV,iGV,January 2021,5.0,2021-01-01,Accepted,JAN,20.21
Accepted,iGE,iGTa,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Accepted,iGTa,iGTa,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Accepted,iGTe,iGTe,January 2021,7.0,2021-01-01,Accepted,JAN,20.21
Accepted,Old iGT,iGTa,January 2021,1.0,2021-01-01,Accepted,JAN,20.21
Approved,Old iGV,iGV,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Accepted,Old iGV,iGV,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Finished,iGTa,iGTa,January 2021,0.0,2021-01-01,Finished,JAN,20.21
Finished,iGV,iGV,January 2021,0.0,2021-01-01,Finished,JAN,20.21
Finished,iGTe,iGTe,January 2021,0.0,2021-01-01,Finished,JAN,20.21
Realized,oGTe,oGTe,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,oGTa,oGTa,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,oGV,oGV,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,oGE,oGTa,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,Old oGT,oGTa,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,Old oGV,oGV,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Accepted,oGE,oGTa,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Approved,Old oGT,oGTa,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Approved,Old oGV,oGV,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Accepted,Old oGT,oGTa,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Approved,oGV,oGV,January 2021,4.0,2021-01-01,Approved,JAN,20.21
Accepted,Old oGV,oGV,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Approved,oGE,oGTa,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Completed,Old iGV,iGV,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Applied,Old oGV,oGV,January 2021,0.0,2021-01-01,Applied,JAN,20.21
Completed,iGTa,iGTa,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,iGTe,iGTe,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,oGE,oGTa,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Approved,oGTe,oGTe,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Completed,iGV,iGV,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,oGV,oGV,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Approved,oGTa,oGTa,January 2021,1.0,2021-01-01,Approved,JAN,20.21
Completed,oGTa,oGTa,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,oGTe,oGTe,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,iGE,iGTa,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,Old iGT,iGTa,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,Old oGV,oGV,January 2021,0.0,2021-01-01,Completed,JAN,20.21
