index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,CC,,oGTa,15.16,2015,CC - 2015,,,,,,,,,,,,1.0,1.0
1,CC,,oGTa,15.16,2015,CC - 2015,,,,,,,,,,,,0.0,0.0
2,CC,,oGTa,15.16,2015,CC - 2015,,,,,,,,,,,,0.0,0.0
3,CC,,oGTa,15.16,2015,CC - 2015,,,,,,,,,,,,0.0,0.0
4,CC,,oGTa,15.16,2015,CC - 2015,,,,,,,,,,,,1.0,1.0
5,CC,,oGTa,15.16,2015,CC - 2015,,,,,,,,,,,,0.0,0.0
6,CC,,oGTa,15.16,2015,CC - 2015,,,,,,,,,,,,0.0,0.0
7,CC,,oGTa,16.17,2016,CC - 2016,4.0,6.0,3.0,2.0,4.0,8.0,5.0,5.0,11.0,3.0,5.0,4.0,60.0
8,CC,,oGTa,16.17,2016,CC - 2016,0.0,1.0,1.0,4.0,6.0,2.0,6.0,3.0,3.0,2.0,2.0,6.0,36.0
9,CC,,oGTa,16.17,2016,CC - 2016,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
10,CC,,oGTa,16.17,2016,CC - 2016,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
11,CC,,oGTa,16.17,2016,CC - 2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0
12,CC,,oGTa,16.17,2016,CC - 2016,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
13,CC,,oGTa,16.17,2016,CC - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CC,,oGTa,17.18,2017,CC - 2017,3.0,0.0,12.0,31.0,14.0,11.0,14.0,15.0,9.0,6.0,11.0,12.0,138.0
15,CC,,oGTa,17.18,2017,CC - 2017,4.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,12.0,4.0,7.0,51.0
16,CC,,oGTa,17.18,2017,CC - 2017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
17,CC,,oGTa,17.18,2017,CC - 2017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
18,CC,,oGTa,17.18,2017,CC - 2017,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
19,CC,,oGTa,17.18,2017,CC - 2017,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
20,CC,,oGTa,17.18,2017,CC - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
21,CC,,oGTa,18.19,2018,CC - 2018,19.0,16.0,17.0,25.0,15.0,12.0,9.0,29.0,31.0,15.0,6.0,7.0,201.0
22,CC,,oGTa,18.19,2018,CC - 2018,8.0,11.0,16.0,16.0,19.0,12.0,17.0,24.0,22.0,27.0,12.0,19.0,203.0
23,CC,,oGTa,18.19,2018,CC - 2018,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,8.0
24,CC,,oGTa,18.19,2018,CC - 2018,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0
25,CC,,oGTa,18.19,2018,CC - 2018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
26,CC,,oGTa,18.19,2018,CC - 2018,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
27,CC,,oGTa,18.19,2018,CC - 2018,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
28,CC,,oGTa,19.20,2019,CC - 2019,13.0,20.0,12.0,12.0,7.0,9.0,10.0,14.0,14.0,2.0,7.0,,120.0
29,CC,,oGTa,19.20,2019,CC - 2019,26.0,23.0,13.0,23.0,15.0,14.0,16.0,15.0,17.0,13.0,5.0,,180.0
30,CC,,oGTa,19.20,2019,CC - 2019,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,5.0
31,CC,,oGTa,19.20,2019,CC - 2019,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,5.0
32,CC,,oGTa,19.20,2019,CC - 2019,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,,6.0
33,CC,,oGTa,19.20,2019,CC - 2019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,3.0
34,CC,,oGTa,19.20,2019,CC - 2019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0
35,CC,,oGTa,21.22,2021,CC - 2021,,,,,,,,,,,,8.0,8.0
36,CC,,oGTa,21.22,2021,CC - 2021,,,,,,,,,,,,9.0,9.0
37,CC,,oGTa,21.22,2021,CC - 2021,,,,,,,,,,,,0.0,0.0
38,CC,,oGTa,21.22,2021,CC - 2021,,,,,,,,,,,,0.0,0.0
39,CC,,oGTa,21.22,2021,CC - 2021,,,,,,,,,,,,1.0,1.0
40,CC,,oGTa,21.22,2021,CC - 2021,,,,,,,,,,,,0.0,0.0
41,CC,,oGTa,21.22,2021,CC - 2021,,,,,,,,,,,,0.0,0.0
