index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,CN,,oGTa,15.16,2015,CN - 2015,,,,,,,,,,,,4.0,4.0
1,CN,,oGTa,15.16,2015,CN - 2015,,,,,,,,,,,,2.0,2.0
2,CN,,oGTa,15.16,2015,CN - 2015,,,,,,,,,,,,0.0,0.0
3,CN,,oGTa,15.16,2015,CN - 2015,,,,,,,,,,,,0.0,0.0
4,CN,,oGTa,15.16,2015,CN - 2015,,,,,,,,,,,,0.0,0.0
5,CN,,oGTa,15.16,2015,CN - 2015,,,,,,,,,,,,0.0,0.0
6,CN,,oGTa,15.16,2015,CN - 2015,,,,,,,,,,,,0.0,0.0
7,CN,,oGTa,16.17,2016,CN - 2016,1.0,1.0,2.0,7.0,2.0,2.0,2.0,1.0,0.0,17.0,3.0,1.0,39.0
8,CN,,oGTa,16.17,2016,CN - 2016,3.0,6.0,5.0,3.0,7.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,59.0
9,CN,,oGTa,16.17,2016,CN - 2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
10,CN,,oGTa,16.17,2016,CN - 2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
11,CN,,oGTa,16.17,2016,CN - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,CN,,oGTa,16.17,2016,CN - 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,CN,,oGTa,16.17,2016,CN - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CN,,oGTa,17.18,2017,CN - 2017,1.0,2.0,25.0,47.0,24.0,1.0,9.0,5.0,1.0,11.0,13.0,5.0,144.0
15,CN,,oGTa,17.18,2017,CN - 2017,2.0,1.0,6.0,21.0,35.0,17.0,10.0,8.0,5.0,5.0,3.0,3.0,116.0
16,CN,,oGTa,17.18,2017,CN - 2017,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0
17,CN,,oGTa,17.18,2017,CN - 2017,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0
18,CN,,oGTa,17.18,2017,CN - 2017,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
19,CN,,oGTa,17.18,2017,CN - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
20,CN,,oGTa,17.18,2017,CN - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,CN,,oGTa,18.19,2018,CN - 2018,13.0,5.0,14.0,12.0,0.0,9.0,8.0,12.0,7.0,12.0,3.0,2.0,97.0
22,CN,,oGTa,18.19,2018,CN - 2018,5.0,8.0,14.0,16.0,7.0,8.0,19.0,13.0,8.0,11.0,10.0,11.0,130.0
23,CN,,oGTa,18.19,2018,CN - 2018,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0
24,CN,,oGTa,18.19,2018,CN - 2018,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0
25,CN,,oGTa,18.19,2018,CN - 2018,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0
26,CN,,oGTa,18.19,2018,CN - 2018,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0
27,CN,,oGTa,18.19,2018,CN - 2018,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
28,CN,,oGTa,19.20,2019,CN - 2019,20.0,11.0,8.0,5.0,4.0,5.0,6.0,7.0,6.0,9.0,10.0,,91.0
29,CN,,oGTa,19.20,2019,CN - 2019,21.0,13.0,14.0,14.0,6.0,5.0,6.0,11.0,13.0,12.0,8.0,,123.0
30,CN,,oGTa,19.20,2019,CN - 2019,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,6.0
31,CN,,oGTa,19.20,2019,CN - 2019,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,5.0
32,CN,,oGTa,19.20,2019,CN - 2019,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,6.0
