index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,Egypt,,oGTa,21.22,2021,Egypt - 2021,398.0,852.0,719.0,167.0,137.0,107.0,253.0,388.0,332.0,305.0,,71.0,3729.0
36,Egypt,,oGTa,21.22,2021,Egypt - 2021,159.0,229.0,178.0,153.0,146.0,114.0,112.0,180.0,137.0,165.0,,98.0,1671.0
37,Egypt,,oGTa,21.22,2021,Egypt - 2021,2.0,15.0,4.0,5.0,14.0,5.0,6.0,3.0,4.0,6.0,,5.0,69.0
38,Egypt,,oGTa,21.22,2021,Egypt - 2021,1.0,7.0,2.0,3.0,8.0,2.0,2.0,3.0,1.0,3.0,,0.0,32.0
39,Egypt,,oGTa,21.22,2021,Egypt - 2021,1.0,0.0,1.0,0.0,3.0,3.0,0.0,5.0,3.0,2.0,,3.0,21.0
40,Egypt,,oGTa,21.22,2021,Egypt - 2021,2.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,,0.0,13.0
41,Egypt,,oGTa,21.22,2021,Egypt - 2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,3.0
42,Egypt,,oGTa,22.23,2022,Egypt - 2022,237.0,747.0,276.0,262.0,98.0,111.0,237.0,146.0,318.0,198.0,,106.0,2736.0
