index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,India,,oGTa,21.22,2021,India - 2021,1070.0,1720.0,846.0,309.0,276.0,326.0,509.0,754.0,370.0,359.0,,427.0,6966.0
36,India,,oGTa,21.22,2021,India - 2021,210.0,287.0,278.0,171.0,172.0,164.0,157.0,181.0,158.0,164.0,,146.0,2088.0
37,India,,oGTa,21.22,2021,India - 2021,5.0,6.0,7.0,2.0,4.0,1.0,5.0,2.0,3.0,4.0,,6.0,45.0
38,India,,oGTa,21.22,2021,India - 2021,5.0,4.0,3.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,,3.0,29.0
39,India,,oGTa,21.22,2021,India - 2021,0.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,,1.0,14.0
40,India,,oGTa,21.22,2021,India - 2021,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,,2.0,12.0
41,India,,oGTa,21.22,2021,India - 2021,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,7.0
42,India,,oGTa,22.23,2022,India - 2022,435.0,1169.0,809.0,731.0,484.0,313.0,452.0,1045.0,1031.0,796.0,,245.0,7510.0
