index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,Kandy,,oGTa,15.16,2015,Kandy - 2015,,,,,,,,,,,,0.0,0.0
1,Kandy,,oGTa,15.16,2015,Kandy - 2015,,,,,,,,,,,,0.0,0.0
2,Kandy,,oGTa,15.16,2015,Kandy - 2015,,,,,,,,,,,,0.0,0.0
3,Kandy,,oGTa,15.16,2015,Kandy - 2015,,,,,,,,,,,,0.0,0.0
4,Kandy,,oGTa,15.16,2015,Kandy - 2015,,,,,,,,,,,,0.0,0.0
5,Kandy,,oGTa,15.16,2015,Kandy - 2015,,,,,,,,,,,,0.0,0.0
6,Kandy,,oGTa,15.16,2015,Kandy - 2015,,,,,,,,,,,,0.0,0.0
7,Kandy,,oGTa,16.17,2016,Kandy - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Kandy,,oGTa,16.17,2016,Kandy - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Kandy,,oGTa,16.17,2016,Kandy - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Kandy,,oGTa,16.17,2016,Kandy - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Kandy,,oGTa,16.17,2016,Kandy - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Kandy,,oGTa,16.17,2016,Kandy - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Kandy,,oGTa,16.17,2016,Kandy - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Kandy,,oGTa,17.18,2017,Kandy - 2017,0.0,0.0,0.0,0.0,24.0,0.0,9.0,17.0,16.0,13.0,7.0,11.0,97.0
15,Kandy,,oGTa,17.18,2017,Kandy - 2017,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,6.0,4.0,3.0,26.0
16,Kandy,,oGTa,17.18,2017,Kandy - 2017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
17,Kandy,,oGTa,17.18,2017,Kandy - 2017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18,Kandy,,oGTa,17.18,2017,Kandy - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19,Kandy,,oGTa,17.18,2017,Kandy - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Kandy,,oGTa,17.18,2017,Kandy - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Kandy,,oGTa,18.19,2018,Kandy - 2018,11.0,20.0,9.0,10.0,25.0,8.0,16.0,8.0,6.0,12.0,11.0,7.0,143.0
22,Kandy,,oGTa,18.19,2018,Kandy - 2018,3.0,4.0,4.0,4.0,10.0,6.0,9.0,4.0,9.0,4.0,9.0,7.0,73.0
23,Kandy,,oGTa,18.19,2018,Kandy - 2018,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,6.0
24,Kandy,,oGTa,18.19,2018,Kandy - 2018,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0
25,Kandy,,oGTa,18.19,2018,Kandy - 2018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
26,Kandy,,oGTa,18.19,2018,Kandy - 2018,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,Kandy,,oGTa,18.19,2018,Kandy - 2018,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,Kandy,,oGTa,19.20,2019,Kandy - 2019,4.0,13.0,13.0,37.0,7.0,2.0,11.0,11.0,16.0,6.0,5.0,,125.0
29,Kandy,,oGTa,19.20,2019,Kandy - 2019,3.0,2.0,3.0,17.0,16.0,6.0,7.0,5.0,5.0,3.0,6.0,,73.0
30,Kandy,,oGTa,19.20,2019,Kandy - 2019,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0
31,Kandy,,oGTa,19.20,2019,Kandy - 2019,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,3.0
32,Kandy,,oGTa,19.20,2019,Kandy - 2019,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,5.0
33,Kandy,,oGTa,19.20,2019,Kandy - 2019,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,5.0
34,Kandy,,oGTa,19.20,2019,Kandy - 2019,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,3.0
35,Kandy,,oGTa,21.22,2021,Kandy - 2021,,,,,,,,,,,,6.0,6.0
36,Kandy,,oGTa,21.22,2021,Kandy - 2021,,,,,,,,,,,,1.0,1.0
37,Kandy,,oGTa,21.22,2021,Kandy - 2021,,,,,,,,,,,,0.0,0.0
38,Kandy,,oGTa,21.22,2021,Kandy - 2021,,,,,,,,,,,,0.0,0.0
39,Kandy,,oGTa,21.22,2021,Kandy - 2021,,,,,,,,,,,,0.0,0.0
40,Kandy,,oGTa,21.22,2021,Kandy - 2021,,,,,,,,,,,,0.0,0.0
41,Kandy,,oGTa,21.22,2021,Kandy - 2021,,,,,,,,,,,,0.0,0.0
42,Kandy,,oGTa,22.23,2022,Kandy - 2022,5.0,10.0,7.0,4.0,13.0,3.0,4.0,1.0,4.0,4.0,11.0,2.0,68.0
43,Kandy,,oGTa,22.23,2022,Kandy - 2022,3.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,6.0,2.0,48.0
44,Kandy,,oGTa,22.23,2022,Kandy - 2022,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
45,Kandy,,oGTa,22.23,2022,Kandy - 2022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,Kandy,,oGTa,22.23,2022,Kandy - 2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
