index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,NSBM,,oGTa,15.16,2015,NSBM - 2015,,,,,,,,,,,,0.0,0.0
1,NSBM,,oGTa,15.16,2015,NSBM - 2015,,,,,,,,,,,,0.0,0.0
2,NSBM,,oGTa,15.16,2015,NSBM - 2015,,,,,,,,,,,,0.0,0.0
3,NSBM,,oGTa,15.16,2015,NSBM - 2015,,,,,,,,,,,,0.0,0.0
4,NSBM,,oGTa,15.16,2015,NSBM - 2015,,,,,,,,,,,,0.0,0.0
5,NSBM,,oGTa,15.16,2015,NSBM - 2015,,,,,,,,,,,,0.0,0.0
6,NSBM,,oGTa,15.16,2015,NSBM - 2015,,,,,,,,,,,,0.0,0.0
7,NSBM,,oGTa,16.17,2016,NSBM - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,NSBM,,oGTa,16.17,2016,NSBM - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NSBM,,oGTa,16.17,2016,NSBM - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NSBM,,oGTa,16.17,2016,NSBM - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,NSBM,,oGTa,16.17,2016,NSBM - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NSBM,,oGTa,16.17,2016,NSBM - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,NSBM,,oGTa,16.17,2016,NSBM - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,NSBM,,oGTa,17.18,2017,NSBM - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,NSBM,,oGTa,17.18,2017,NSBM - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NSBM,,oGTa,17.18,2017,NSBM - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,NSBM,,oGTa,17.18,2017,NSBM - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,NSBM,,oGTa,17.18,2017,NSBM - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,NSBM,,oGTa,17.18,2017,NSBM - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,NSBM,,oGTa,17.18,2017,NSBM - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,NSBM,,oGTa,18.19,2018,NSBM - 2018,1.0,0.0,2.0,0.0,4.0,3.0,2.0,8.0,6.0,8.0,3.0,0.0,37.0
22,NSBM,,oGTa,18.19,2018,NSBM - 2018,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,12.0
23,NSBM,,oGTa,18.19,2018,NSBM - 2018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,NSBM,,oGTa,18.19,2018,NSBM - 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,NSBM,,oGTa,18.19,2018,NSBM - 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,NSBM,,oGTa,18.19,2018,NSBM - 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,NSBM,,oGTa,18.19,2018,NSBM - 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,NSBM,,oGTa,19.20,2019,NSBM - 2019,4.0,4.0,2.0,8.0,0.0,0.0,5.0,7.0,5.0,4.0,0.0,,39.0
29,NSBM,,oGTa,19.20,2019,NSBM - 2019,2.0,2.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,4.0,1.0,,22.0
30,NSBM,,oGTa,19.20,2019,NSBM - 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0
31,NSBM,,oGTa,19.20,2019,NSBM - 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0
32,NSBM,,oGTa,19.20,2019,NSBM - 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
