"Function: oGTa, Term: 15.16"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0
Applied,ASL,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Realized,ASL,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Finished,ASL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Completed,ASL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0

"Function: oGTa, Term: 16.17"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,23.0,14.0,36.0,21.0,38.0,24.0,32.0,39.0,25.0,51.0,49.0,nan,352.0
Applied,ASL,14.0,8.0,11.0,15.0,16.0,17.0,10.0,18.0,11.0,11.0,17.0,nan,148.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,1.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,nan,13.0
Realized,ASL,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,nan,9.0
Finished,ASL,1.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,nan,13.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0

"Function: oGTa, Term: 17.18"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,65.0,39.0,64.0,106.0,179.0,144.0,53.0,64.0,89.0,70.0,76.0,nan,949.0
Applied,ASL,36.0,15.0,26.0,25.0,35.0,51.0,39.0,35.0,26.0,23.0,38.0,nan,349.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,0.0,1.0,3.0,4.0,0.0,7.0,1.0,3.0,1.0,2.0,1.0,nan,23.0
Realized,ASL,1.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,nan,17.0
Finished,ASL,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,nan,10.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,nan,5.0

"Function: oGTa, Term: 18.19"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,50.0,83.0,112.0,97.0,64.0,66.0,53.0,73.0,115.0,92.0,82.0,nan,887.0
Applied,ASL,65.0,47.0,49.0,63.0,65.0,67.0,55.0,80.0,74.0,71.0,68.0,nan,704.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,2.0,2.0,3.0,0.0,6.0,1.0,2.0,4.0,2.0,2.0,2.0,nan,26.0
Realized,ASL,0.0,3.0,2.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,nan,14.0
Finished,ASL,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,4.0,0.0,nan,15.0
Completed,ASL,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,nan,10.0

"Function: oGTa, Term: 19.20"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,nan,92.0,101.0,92.0,96.0,35.0,48.0,61.0,82.0,90.0,45.0,nan,742.0
Applied,ASL,nan,80.0,89.0,55.0,90.0,60.0,56.0,64.0,66.0,76.0,59.0,nan,695.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,nan,3.0,2.0,7.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,nan,31.0
Realized,ASL,nan,6.0,1.0,2.0,1.0,1.0,8.0,0.0,2.0,3.0,0.0,nan,24.0
Finished,ASL,nan,2.0,3.0,0.0,2.0,2.0,2.0,3.0,0.0,5.0,3.0,nan,22.0
Completed,ASL,nan,1.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,4.0,2.0,nan,15.0

"Function: oGTa, Term: 21.22"
