index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,Rajarata,,oGTa,15.16,2015,Rajarata - 2015,,,,,,,,,,,,0.0,0.0
1,Rajarata,,oGTa,15.16,2015,Rajarata - 2015,,,,,,,,,,,,0.0,0.0
2,Rajarata,,oGTa,15.16,2015,Rajarata - 2015,,,,,,,,,,,,0.0,0.0
3,Rajarata,,oGTa,15.16,2015,Rajarata - 2015,,,,,,,,,,,,0.0,0.0
4,Rajarata,,oGTa,15.16,2015,Rajarata - 2015,,,,,,,,,,,,0.0,0.0
5,Rajarata,,oGTa,15.16,2015,Rajarata - 2015,,,,,,,,,,,,0.0,0.0
6,Rajarata,,oGTa,15.16,2015,Rajarata - 2015,,,,,,,,,,,,0.0,0.0
7,Rajarata,,oGTa,16.17,2016,Rajarata - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Rajarata,,oGTa,16.17,2016,Rajarata - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Rajarata,,oGTa,16.17,2016,Rajarata - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Rajarata,,oGTa,16.17,2016,Rajarata - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Rajarata,,oGTa,16.17,2016,Rajarata - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Rajarata,,oGTa,16.17,2016,Rajarata - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Rajarata,,oGTa,16.17,2016,Rajarata - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Rajarata,,oGTa,17.18,2017,Rajarata - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
