index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,Ruhuna,,oGTa,15.16,2015,Ruhuna - 2015,,,,,,,,,,,,0.0,0.0
1,Ruhuna,,oGTa,15.16,2015,Ruhuna - 2015,,,,,,,,,,,,0.0,0.0
2,Ruhuna,,oGTa,15.16,2015,Ruhuna - 2015,,,,,,,,,,,,0.0,0.0
3,Ruhuna,,oGTa,15.16,2015,Ruhuna - 2015,,,,,,,,,,,,0.0,0.0
4,Ruhuna,,oGTa,15.16,2015,Ruhuna - 2015,,,,,,,,,,,,0.0,0.0
5,Ruhuna,,oGTa,15.16,2015,Ruhuna - 2015,,,,,,,,,,,,0.0,0.0
6,Ruhuna,,oGTa,15.16,2015,Ruhuna - 2015,,,,,,,,,,,,0.0,0.0
7,Ruhuna,,oGTa,16.17,2016,Ruhuna - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Ruhuna,,oGTa,16.17,2016,Ruhuna - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Ruhuna,,oGTa,16.17,2016,Ruhuna - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Ruhuna,,oGTa,16.17,2016,Ruhuna - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Ruhuna,,oGTa,16.17,2016,Ruhuna - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Ruhuna,,oGTa,16.17,2016,Ruhuna - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Ruhuna,,oGTa,16.17,2016,Ruhuna - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
