index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,SLIIT,,oGTa,15.16,2015,SLIIT - 2015,,,,,,,,,,,,0.0,0.0
1,SLIIT,,oGTa,15.16,2015,SLIIT - 2015,,,,,,,,,,,,0.0,0.0
2,SLIIT,,oGTa,15.16,2015,SLIIT - 2015,,,,,,,,,,,,0.0,0.0
3,SLIIT,,oGTa,15.16,2015,SLIIT - 2015,,,,,,,,,,,,0.0,0.0
4,SLIIT,,oGTa,15.16,2015,SLIIT - 2015,,,,,,,,,,,,0.0,0.0
5,SLIIT,,oGTa,15.16,2015,SLIIT - 2015,,,,,,,,,,,,0.0,0.0
6,SLIIT,,oGTa,15.16,2015,SLIIT - 2015,,,,,,,,,,,,0.0,0.0
7,SLIIT,,oGTa,16.17,2016,SLIIT - 2016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,SLIIT,,oGTa,16.17,2016,SLIIT - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,SLIIT,,oGTa,16.17,2016,SLIIT - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,SLIIT,,oGTa,16.17,2016,SLIIT - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,SLIIT,,oGTa,16.17,2016,SLIIT - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,SLIIT,,oGTa,16.17,2016,SLIIT - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,SLIIT,,oGTa,16.17,2016,SLIIT - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,SLIIT,,oGTa,17.18,2017,SLIIT - 2017,0.0,0.0,1.0,0.0,14.0,6.0,3.0,3.0,14.0,11.0,4.0,0.0,56.0
15,SLIIT,,oGTa,17.18,2017,SLIIT - 2017,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,21.0
16,SLIIT,,oGTa,17.18,2017,SLIIT - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,SLIIT,,oGTa,17.18,2017,SLIIT - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,SLIIT,,oGTa,17.18,2017,SLIIT - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19,SLIIT,,oGTa,17.18,2017,SLIIT - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,SLIIT,,oGTa,17.18,2017,SLIIT - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,SLIIT,,oGTa,18.19,2018,SLIIT - 2018,3.0,5.0,19.0,6.0,2.0,1.0,12.0,14.0,13.0,7.0,12.0,6.0,100.0
22,SLIIT,,oGTa,18.19,2018,SLIIT - 2018,3.0,2.0,5.0,3.0,4.0,1.0,6.0,9.0,10.0,2.0,2.0,6.0,53.0
23,SLIIT,,oGTa,18.19,2018,SLIIT - 2018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
24,SLIIT,,oGTa,18.19,2018,SLIIT - 2018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,SLIIT,,oGTa,18.19,2018,SLIIT - 2018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,SLIIT,,oGTa,18.19,2018,SLIIT - 2018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,SLIIT,,oGTa,18.19,2018,SLIIT - 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,SLIIT,,oGTa,19.20,2019,SLIIT - 2019,6.0,5.0,21.0,6.0,0.0,1.0,6.0,4.0,15.0,3.0,8.0,,75.0
29,SLIIT,,oGTa,19.20,2019,SLIIT - 2019,2.0,3.0,5.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,,37.0
30,SLIIT,,oGTa,19.20,2019,SLIIT - 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
31,SLIIT,,oGTa,19.20,2019,SLIIT - 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
32,SLIIT,,oGTa,19.20,2019,SLIIT - 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
33,SLIIT,,oGTa,19.20,2019,SLIIT - 2019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
34,SLIIT,,oGTa,19.20,2019,SLIIT - 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
35,SLIIT,,oGTa,21.22,2021,SLIIT - 2021,,,,,,,,,,,,5.0,5.0
36,SLIIT,,oGTa,21.22,2021,SLIIT - 2021,,,,,,,,,,,,3.0,3.0
37,SLIIT,,oGTa,21.22,2021,SLIIT - 2021,,,,,,,,,,,,0.0,0.0
38,SLIIT,,oGTa,21.22,2021,SLIIT - 2021,,,,,,,,,,,,0.0,0.0
39,SLIIT,,oGTa,21.22,2021,SLIIT - 2021,,,,,,,,,,,,0.0,0.0
40,SLIIT,,oGTa,21.22,2021,SLIIT - 2021,,,,,,,,,,,,0.0,0.0
41,SLIIT,,oGTa,21.22,2021,SLIIT - 2021,,,,,,,,,,,,0.0,0.0
42,SLIIT,,oGTa,22.23,2022,SLIIT - 2022,1.0,7.0,2.0,4.0,5.0,2.0,7.0,2.0,3.0,2.0,1.0,3.0,39.0
43,SLIIT,,oGTa,22.23,2022,SLIIT - 2022,0.0,1.0,1.0,4.0,4.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,21.0
44,SLIIT,,oGTa,22.23,2022,SLIIT - 2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,SLIIT,,oGTa,22.23,2022,SLIIT - 2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,SLIIT,,oGTa,22.23,2022,SLIIT - 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
47,SLIIT,,oGTa,22.23,2022,SLIIT - 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
48,SLIIT,,oGTa,22.23,2022,SLIIT - 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,SLIIT,,oGTa,23.24,2023,SLIIT - 2023,4.0,17.0,0.0,3.0,1.0,3.0,0.0,4.0,9.0,3.0,1.0,3.0,48.0
50,SLIIT,,oGTa,23.24,2023,SLIIT - 2023,1.0,5.0,3.0,5.0,3.0,4.0,2.0,1.0,4.0,0.0,1.0,2.0,31.0
51,SLIIT,,oGTa,23.24,2023,SLIIT - 2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,SLIIT,,oGTa,23.24,2023,SLIIT - 2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,SLIIT,,oGTa,23.24,2023,SLIIT - 2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,SLIIT,,oGTa,23.24,2023,SLIIT - 2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,SLIIT,,oGTa,23.24,2023,SLIIT - 2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,SLIIT,,oGTa,24.25,2024,SLIIT - 2024,1.0,18.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,34.0
57,SLIIT,,oGTa,24.25,2024,SLIIT - 2024,1.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0
