index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,Turkey,,oGTa,21.22,2021,Turkey - 2021,112.0,177.0,147.0,125.0,77.0,79.0,68.0,58.0,78.0,89.0,,83.0,1093.0
36,Turkey,,oGTa,21.22,2021,Turkey - 2021,216.0,267.0,260.0,268.0,174.0,158.0,147.0,147.0,144.0,181.0,,160.0,2122.0
37,Turkey,,oGTa,21.22,2021,Turkey - 2021,12.0,14.0,13.0,12.0,19.0,5.0,7.0,7.0,7.0,9.0,,4.0,109.0
38,Turkey,,oGTa,21.22,2021,Turkey - 2021,7.0,8.0,10.0,13.0,14.0,6.0,7.0,3.0,5.0,6.0,,4.0,83.0
39,Turkey,,oGTa,21.22,2021,Turkey - 2021,4.0,7.0,3.0,3.0,5.0,17.0,7.0,6.0,4.0,1.0,,7.0,64.0
40,Turkey,,oGTa,21.22,2021,Turkey - 2021,1.0,8.0,5.0,1.0,0.0,5.0,12.0,9.0,5.0,6.0,,7.0,59.0
41,Turkey,,oGTa,21.22,2021,Turkey - 2021,1.0,4.0,1.0,1.0,0.0,3.0,10.0,7.0,3.0,3.0,,4.0,37.0
42,Turkey,,oGTa,22.23,2022,Turkey - 2022,70.0,72.0,77.0,71.0,66.0,29.0,22.0,47.0,50.0,41.0,,30.0,575.0
