index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,USJ,,oGTa,15.16,2015,USJ - 2015,,,,,,,,,,,,13.0,13.0
1,USJ,,oGTa,15.16,2015,USJ - 2015,,,,,,,,,,,,9.0,9.0
2,USJ,,oGTa,15.16,2015,USJ - 2015,,,,,,,,,,,,0.0,0.0
3,USJ,,oGTa,15.16,2015,USJ - 2015,,,,,,,,,,,,0.0,0.0
4,USJ,,oGTa,15.16,2015,USJ - 2015,,,,,,,,,,,,0.0,0.0
5,USJ,,oGTa,15.16,2015,USJ - 2015,,,,,,,,,,,,0.0,0.0
6,USJ,,oGTa,15.16,2015,USJ - 2015,,,,,,,,,,,,0.0,0.0
7,USJ,,oGTa,16.17,2016,USJ - 2016,0.0,2.0,0.0,13.0,10.0,6.0,6.0,0.0,6.0,6.0,2.0,3.0,54.0
8,USJ,,oGTa,16.17,2016,USJ - 2016,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,16.0
9,USJ,,oGTa,16.17,2016,USJ - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,USJ,,oGTa,16.17,2016,USJ - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,USJ,,oGTa,16.17,2016,USJ - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,USJ,,oGTa,16.17,2016,USJ - 2016,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13,USJ,,oGTa,16.17,2016,USJ - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,USJ,,oGTa,17.18,2017,USJ - 2017,6.0,4.0,22.0,16.0,20.0,13.0,9.0,9.0,4.0,1.0,9.0,19.0,132.0
15,USJ,,oGTa,17.18,2017,USJ - 2017,1.0,5.0,3.0,6.0,4.0,11.0,5.0,6.0,3.0,3.0,5.0,6.0,58.0
16,USJ,,oGTa,17.18,2017,USJ - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
17,USJ,,oGTa,17.18,2017,USJ - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
18,USJ,,oGTa,17.18,2017,USJ - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
19,USJ,,oGTa,17.18,2017,USJ - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,USJ,,oGTa,17.18,2017,USJ - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,USJ,,oGTa,18.19,2018,USJ - 2018,14.0,22.0,20.0,6.0,6.0,13.0,13.0,17.0,13.0,16.0,6.0,9.0,155.0
22,USJ,,oGTa,18.19,2018,USJ - 2018,8.0,11.0,14.0,10.0,14.0,14.0,17.0,17.0,13.0,18.0,14.0,14.0,164.0
