status,function,function_new,Month,APP,Month in Dates,Months for Analysis,Term
Realized,Old iGT,iGTa,January 2016,3.0,2016-01-01,JAN,15.16
Realized,Old iGV,iGV,January 2016,192.0,2016-01-01,JAN,15.16
Realized,iGTa,iGTa,January 2016,0.0,2016-01-01,JAN,15.16
Realized,iGV,iGV,January 2016,0.0,2016-01-01,JAN,15.16
Realized,iGTe,iGTe,January 2016,0.0,2016-01-01,JAN,15.16
Realized,iGE,iGTa,January 2016,0.0,2016-01-01,JAN,15.16
Approved,Old iGV,iGV,January 2016,38.0,2016-01-01,JAN,15.16
Finished,iGTa,iGTa,January 2016,0.0,2016-01-01,JAN,15.16
Finished,iGV,iGV,January 2016,0.0,2016-01-01,JAN,15.16
Finished,iGTe,iGTe,January 2016,0.0,2016-01-01,JAN,15.16
Realized,oGTe,oGTe,January 2016,0.0,2016-01-01,JAN,15.16
Realized,oGTa,oGTa,January 2016,0.0,2016-01-01,JAN,15.16
Realized,oGV,oGV,January 2016,0.0,2016-01-01,JAN,15.16
Realized,oGE,oGTa,January 2016,0.0,2016-01-01,JAN,15.16
Realized,Old oGT,oGTa,January 2016,1.0,2016-01-01,JAN,15.16
Realized,Old oGV,oGV,January 2016,26.0,2016-01-01,JAN,15.16
Approved,Old oGT,oGTa,January 2016,1.0,2016-01-01,JAN,15.16
Approved,Old oGV,oGV,January 2016,9.0,2016-01-01,JAN,15.16
Approved,oGV,oGV,January 2016,0.0,2016-01-01,JAN,15.16
Approved,oGE,oGTa,January 2016,0.0,2016-01-01,JAN,15.16
Completed,Old iGV,iGV,January 2016,0.0,2016-01-01,JAN,15.16
Applied,Old oGV,oGV,January 2016,9.0,2016-01-01,JAN,15.16
Completed,iGTa,iGTa,January 2016,0.0,2016-01-01,JAN,15.16
Completed,iGTe,iGTe,January 2016,0.0,2016-01-01,JAN,15.16
Completed,oGE,oGTa,January 2016,0.0,2016-01-01,JAN,15.16
Approved,oGTe,oGTe,January 2016,0.0,2016-01-01,JAN,15.16
Completed,iGV,iGV,January 2016,0.0,2016-01-01,JAN,15.16
Completed,oGV,oGV,January 2016,0.0,2016-01-01,JAN,15.16
Approved,oGTa,oGTa,January 2016,0.0,2016-01-01,JAN,15.16
Completed,oGTa,oGTa,January 2016,0.0,2016-01-01,JAN,15.16
Completed,oGTe,oGTe,January 2016,0.0,2016-01-01,JAN,15.16
Completed,iGE,iGTa,January 2016,0.0,2016-01-01,JAN,15.16
Completed,Old iGT,iGTa,January 2016,0.0,2016-01-01,JAN,15.16
Completed,Old oGV,oGV,January 2016,0.0,2016-01-01,JAN,15.16
Completed,Old oGT,oGTa,January 2016,0.0,2016-01-01,JAN,15.16
Finished,iGE,iGTa,January 2016,0.0,2016-01-01,JAN,15.16
Applied,iGTa,iGTa,January 2016,0.0,2016-01-01,JAN,15.16
Applied,iGTe,iGTe,January 2016,0.0,2016-01-01,JAN,15.16
Finished,Old iGT,iGTa,January 2016,8.0,2016-01-01,JAN,15.16
Finished,Old iGV,iGV,January 2016,37.0,2016-01-01,JAN,15.16
Approved,Old iGT,iGTa,January 2016,3.0,2016-01-01,JAN,15.16
