status,function,function_new,Month,APP
realized,Old iGT,iGTa,January 2024,0.0
realized,Old iGV,iGV,January 2024,0.0
realized,iGTa,iGTa,January 2024,1.0
realized,iGV,iGV,January 2024,27.0
realized,iGTe,iGTe,January 2024,1.0
realized,iGE,iGTa,January 2024,0.0
approved,Old iGV,iGV,January 2024,0.0
finished,iGTa,iGTa,January 2024,0.0
finished,iGV,iGV,January 2024,20.0
finished,iGTe,iGTe,January 2024,0.0
realized,oGTe,oGTe,January 2024,4.0
realized,oGTa,oGTa,January 2024,1.0
realized,oGV,oGV,January 2024,4.0
realized,oGE,oGTa,January 2024,0.0
realized,Old oGT,oGTa,January 2024,0.0
realized,Old oGV,oGV,January 2024,0.0
approved,Old oGT,oGTa,January 2024,0.0
approved,Old oGV,oGV,January 2024,0.0
approved,oGV,oGV,January 2024,5.0
approved,oGE,oGTa,January 2024,0.0
completed,Old iGV,iGV,January 2024,0.0
applied,Old oGV,oGV,January 2024,0.0
completed,iGTa,iGTa,January 2024,0.0
completed,iGTe,iGTe,January 2024,0.0
completed,oGE,oGTa,January 2024,0.0
approved,oGTe,oGTe,January 2024,1.0
completed,iGV,iGV,January 2024,12.0
completed,oGV,oGV,January 2024,11.0
approved,oGTa,oGTa,January 2024,0.0
completed,oGTa,oGTa,January 2024,0.0
completed,oGTe,oGTe,January 2024,0.0
completed,iGE,iGTa,January 2024,0.0
completed,Old iGT,iGTa,January 2024,0.0
completed,Old oGV,oGV,January 2024,0.0
completed,Old oGT,oGTa,January 2024,0.0
finished,iGE,iGTa,January 2024,0.0
applied,iGTa,iGTa,January 2024,89.0
applied,iGTe,iGTe,January 2024,4.0
finished,Old iGT,iGTa,January 2024,0.0
finished,Old iGV,iGV,January 2024,0.0
approved,Old iGT,iGTa,January 2024,0.0
applied,iGE,iGTa,January 2024,0.0
approved,iGE,iGTa,January 2024,0.0
applied,iGV,iGV,January 2024,210.0
approved,iGV,iGV,January 2024,34.0
applied,Old iGV,iGV,January 2024,0.0
approved,iGTe,iGTe,January 2024,0.0
applied,Old iGT,iGTa,January 2024,0.0
approved,iGTa,iGTa,January 2024,2.0
remote,oGTe,oGTe,January 2024,0.0
remote,oGTa,oGTa,January 2024,0.0
remote,iGTe,iGTe,January 2024,0.0
remote,Old oGV,oGV,January 2024,0.0
remote,iGTa,iGTa,January 2024,0.0
remote,iGV,iGV,January 2024,0.0
finished,oGTe,oGTe,January 2024,1.0
remote,Old oGT,oGTa,January 2024,0.0
finished,oGTa,oGTa,January 2024,1.0
remote,oGE,oGTa,January 2024,0.0
finished,oGV,oGV,January 2024,12.0
remote,oGV,oGV,January 2024,0.0
finished,oGE,oGTa,January 2024,0.0
remote,Old iGV,iGV,January 2024,0.0
applied,Old oGT,oGTa,January 2024,0.0
finished,Old oGT,oGTa,January 2024,0.0
finished,Old oGV,oGV,January 2024,0.0
applied,oGE,oGTa,January 2024,0.0
remote,iGE,iGTa,January 2024,0.0
applied,oGV,oGV,January 2024,15.0
applied,oGTa,oGTa,January 2024,34.0
remote,Old iGT,iGTa,January 2024,0.0
applied,oGTe,oGTe,January 2024,8.0
o,oGV,oGV,January 2024,0.0
o,oGT Old,oGTa,January 2024,0.0
o,oGE,oGTa,January 2024,0.0
o,oGV,oGV,January 2024,55.0
o,oGTa,oGTa,January 2024,27.0
o,oGTe,oGTe,January 2024,15.0
i,iGV,iGV,January 2024,0.0
i,iGT Old,iGTa,January 2024,0.0
i,iGE,iGTa,January 2024,0.0
i,iGV,iGV,January 2024,0.0
i,iGTa,iGTa,January 2024,2.0
i,iGTe,iGTe,January 2024,0.0
total,Total,Total,January 2024,360.0
total,Total,Total,January 2024,69.0
accepted,Total,Total,January 2024,41.0
total,Total,Total,January 2024,42.0
total,Total,Total,January 2024,38.0
realized,Total,Total,January 2024,0.0
total,Total,Total,January 2024,34.0
total,Total,Total,January 2024,23.0
realized,Old iGT,iGTa,February 2024,0.0
realized,Old iGV,iGV,February 2024,0.0
realized,iGTa,iGTa,February 2024,0.0
realized,iGV,iGV,February 2024,6.0
realized,iGTe,iGTe,February 2024,0.0
realized,iGE,iGTa,February 2024,0.0
approved,Old iGV,iGV,February 2024,0.0
finished,iGTa,iGTa,February 2024,0.0
finished,iGV,iGV,February 2024,23.0
finished,iGTe,iGTe,February 2024,0.0
realized,oGTe,oGTe,February 2024,1.0
realized,oGTa,oGTa,February 2024,0.0
realized,oGV,oGV,February 2024,0.0
realized,oGE,oGTa,February 2024,0.0
realized,Old oGT,oGTa,February 2024,0.0
realized,Old oGV,oGV,February 2024,0.0
approved,Old oGT,oGTa,February 2024,0.0
approved,Old oGV,oGV,February 2024,0.0
approved,oGV,oGV,February 2024,2.0
approved,oGE,oGTa,February 2024,0.0
completed,Old iGV,iGV,February 2024,0.0
applied,Old oGV,oGV,February 2024,0.0
completed,iGTa,iGTa,February 2024,0.0
completed,iGTe,iGTe,February 2024,0.0
completed,oGE,oGTa,February 2024,0.0
approved,oGTe,oGTe,February 2024,0.0
completed,iGV,iGV,February 2024,11.0
completed,oGV,oGV,February 2024,3.0
approved,oGTa,oGTa,February 2024,0.0
completed,oGTa,oGTa,February 2024,1.0
completed,oGTe,oGTe,February 2024,0.0
completed,iGE,iGTa,February 2024,0.0
completed,Old iGT,iGTa,February 2024,0.0
completed,Old oGV,oGV,February 2024,0.0
completed,Old oGT,oGTa,February 2024,0.0
finished,iGE,iGTa,February 2024,0.0
applied,iGTa,iGTa,February 2024,123.0
applied,iGTe,iGTe,February 2024,14.0
finished,Old iGT,iGTa,February 2024,0.0
finished,Old iGV,iGV,February 2024,0.0
approved,Old iGT,iGTa,February 2024,0.0
applied,iGE,iGTa,February 2024,0.0
approved,iGE,iGTa,February 2024,0.0
applied,iGV,iGV,February 2024,219.0
approved,iGV,iGV,February 2024,47.0
applied,Old iGV,iGV,February 2024,0.0
approved,iGTe,iGTe,February 2024,0.0
applied,Old iGT,iGTa,February 2024,0.0
approved,iGTa,iGTa,February 2024,1.0
remote,oGTe,oGTe,February 2024,0.0
remote,oGTa,oGTa,February 2024,0.0
remote,iGTe,iGTe,February 2024,0.0
remote,Old oGV,oGV,February 2024,0.0
remote,iGTa,iGTa,February 2024,0.0
remote,iGV,iGV,February 2024,0.0
finished,oGTe,oGTe,February 2024,0.0
remote,Old oGT,oGTa,February 2024,0.0
finished,oGTa,oGTa,February 2024,1.0
remote,oGE,oGTa,February 2024,0.0
finished,oGV,oGV,February 2024,3.0
remote,oGV,oGV,February 2024,0.0
finished,oGE,oGTa,February 2024,0.0
remote,Old iGV,iGV,February 2024,0.0
applied,Old oGT,oGTa,February 2024,0.0
finished,Old oGT,oGTa,February 2024,0.0
finished,Old oGV,oGV,February 2024,0.0
applied,oGE,oGTa,February 2024,0.0
remote,iGE,iGTa,February 2024,0.0
applied,oGV,oGV,February 2024,13.0
applied,oGTa,oGTa,February 2024,43.0
remote,Old iGT,iGTa,February 2024,0.0
applied,oGTe,oGTe,February 2024,22.0
o,oGV,oGV,February 2024,0.0
o,oGT Old,oGTa,February 2024,0.0
o,oGE,oGTa,February 2024,0.0
o,oGV,oGV,February 2024,254.0
o,oGTa,oGTa,February 2024,39.0
o,oGTe,oGTe,February 2024,24.0
i,iGV,iGV,February 2024,0.0
i,iGT Old,iGTa,February 2024,0.0
i,iGE,iGTa,February 2024,0.0
i,iGV,iGV,February 2024,0.0
i,iGTa,iGTa,February 2024,8.0
i,iGTe,iGTe,February 2024,5.0
total,Total,Total,February 2024,434.0
total,Total,Total,February 2024,98.0
accepted,Total,Total,February 2024,52.0
total,Total,Total,February 2024,50.0
total,Total,Total,February 2024,7.0
realized,Total,Total,February 2024,0.0
total,Total,Total,February 2024,27.0
total,Total,Total,February 2024,15.0
realized,Old iGT,iGTa,March 2024,0.0
realized,Old iGV,iGV,March 2024,0.0
realized,iGTa,iGTa,March 2024,1.0
realized,iGV,iGV,March 2024,14.0
realized,iGTe,iGTe,March 2024,0.0
realized,iGE,iGTa,March 2024,0.0
approved,Old iGV,iGV,March 2024,0.0
finished,iGTa,iGTa,March 2024,1.0
finished,iGV,iGV,March 2024,8.0
finished,iGTe,iGTe,March 2024,1.0
realized,oGTe,oGTe,March 2024,0.0
realized,oGTa,oGTa,March 2024,1.0
realized,oGV,oGV,March 2024,1.0
realized,oGE,oGTa,March 2024,0.0
realized,Old oGT,oGTa,March 2024,0.0
realized,Old oGV,oGV,March 2024,0.0
approved,Old oGT,oGTa,March 2024,0.0
approved,Old oGV,oGV,March 2024,0.0
approved,oGV,oGV,March 2024,56.0
approved,oGE,oGTa,March 2024,0.0
completed,Old iGV,iGV,March 2024,0.0
applied,Old oGV,oGV,March 2024,0.0
completed,iGTa,iGTa,March 2024,0.0
completed,iGTe,iGTe,March 2024,0.0
completed,oGE,oGTa,March 2024,0.0
approved,oGTe,oGTe,March 2024,4.0
completed,iGV,iGV,March 2024,2.0
completed,oGV,oGV,March 2024,3.0
approved,oGTa,oGTa,March 2024,3.0
completed,oGTa,oGTa,March 2024,0.0
completed,oGTe,oGTe,March 2024,1.0
completed,iGE,iGTa,March 2024,0.0
completed,Old iGT,iGTa,March 2024,0.0
completed,Old oGV,oGV,March 2024,0.0
completed,Old oGT,oGTa,March 2024,0.0
finished,iGE,iGTa,March 2024,0.0
applied,iGTa,iGTa,March 2024,288.0
applied,iGTe,iGTe,March 2024,52.0
finished,Old iGT,iGTa,March 2024,0.0
finished,Old iGV,iGV,March 2024,0.0
approved,Old iGT,iGTa,March 2024,0.0
applied,iGE,iGTa,March 2024,0.0
approved,iGE,iGTa,March 2024,0.0
applied,iGV,iGV,March 2024,387.0
